Run	spots	bases	spots_with_mates	avgLength	size_MB	download_path	Experiment	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	CenterName	Submission	Consent	number_organism_name	tax_id	bio_project_accession	bio_project_id	group	sub_group	size_mb	gc_percent	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	assembly_accession	reference	ftp_path	pubmed_id	strain	accession_number
SRR3927028	13908363	2114071176	13908363	152	838	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3927028/SRR3927028.1	SRX1953108	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP002449	PRJNA47903	47903	SRS1566651	SAMN02232025	simple	682795	Granulicella mallensis MP5ACTX8	CP003130	JGI	SRA441103	public	Granulicella mallensis MP5ACTX8	682795	PRJNA47903	47903	Acidobacteria	Acidobacteriia	6.23758	57.9	chromosome:NC_016631.1/CP003130.1	-	1	4830	4732	2011-12-01	2020-09-24	Complete Genome	US DOE Joint Genome Institute (JGI-PGF)	GCA_000178955.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/955/GCA_000178955.2_ASM17895v2	-	MP5ACTX8	000178955.2
SRR3928448	34740730	5280590960	34740730	152	3122	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3928448/SRR3928448.1	SRX1958154	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP006525	PRJNA63509	63509	SRS1568612	SAMN02261411	simple	926566	Terriglobus roseus DSM 18391	CP003379	JGI	SRA441400	public	Terriglobus roseus DSM 18391	926566	PRJNA63509	63509	Acidobacteria	Acidobacteriia	5.22786	60.3	chromosome:NC_018014.1/CP003379.1	-	1	4311	4195	2012-06-08	2021-06-30	Complete Genome	JGI	GCA_000265425.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/425/GCA_000265425.1_ASM26542v1	-	DSM 18391	000265425.1
SRR3923561	22114459	3361397768	22114459	152	1833	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3923561/SRR3923561.1	SRX1950107	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP078533	PRJNA51769	51769	SRS1564943	SAMN02769644	simple	547143	Hydrogenobaculum sp. 3684	CP002726	JGI	SRA440572	public	Hydrogenobaculum sp. 3684	547143	PRJNA51769	51769	Aquificae	Aquificae	1.55278	34.8	chromosome:NC_015557.1/CP002726.1	-	1	1661	1586	2011-05-17	2021-02-07	Complete Genome	US DOE Joint Genome Institute	GCA_000213785.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/785/GCA_000213785.1_ASM21378v1	23435891	3684	000213785.1
SRR6827044	1702992	1025201184	1702992	602	546	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6827044/SRR6827044.1	SRX3783214	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP134228	PRJNA437560	437560	SRS3036422	SAMN08667746	simple	35786	Coprothermobacter proteolyticus	SEM1b_SW3C	NORWEGIAN UNIVERSITY OF LIFE SCIENCE	SRA665890	public	Coprothermobacter proteolyticus	35786	PRJNA437560	437560	Coprothermobacterota	Coprothermobacteria	1.41024	44.6	-	PXJB01	28	1469	1401	2018-04-16	2021-01-13	Contig	Norwegian University of Life Science	GCA_003052375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/052/375/GCA_003052375.1_ASM305237v1	-	SW3C	003052375.1
SRR6827043	1725045	1038477090	1725045	602	551	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6827043/SRR6827043.1	SRX3783215	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP134228	PRJNA437560	437560	SRS3036423	SAMN08667745	simple	35786	Coprothermobacter proteolyticus	SEM1b_BWF2A	NORWEGIAN UNIVERSITY OF LIFE SCIENCE	SRA665890	public	Coprothermobacter proteolyticus	35786	PRJNA437560	437560	Coprothermobacterota	Coprothermobacteria	1.40849	44.6	-	PXJC01	20	1458	1383	2018-04-16	2021-01-13	Contig	Norwegian University of Life Science	GCA_003052365.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/052/365/GCA_003052365.1_ASM305236v1	-	BWF2A	003052365.1
SRR1797350	32758196	9827458800	32758196	300	6384	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1797350/SRR1797350.1	SRX872029	WGS	RANDOM	GENOMIC	PAIRED	444000	0	ILLUMINA	Illumina HiSeq 2000	SRP053537	PRJNA195767	195767	SRS842457	SAMN02441578	simple	1304888	Geovibrio sp. L21-Ace-BES	ATWF	JGI	SRA237495	public	Geovibrio sp. L21-Ace-BES	1304888	PRJNA195767	195767	Deferribacteres	Deferribacteres	2.97166	48.5	-	ATWF01	4	2756	2701	2013-07-09	2021-02-03	Scaffold	DOE Joint Genome Institute	GCA_000421105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/105/GCA_000421105.1_ASM42110v1	-	L21-Ace-BES	000421105.1
SRR064733	25618949	3894080248	25618949	152	23452	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR064733/SRR064733.3	SRX026118	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP003373	PRJNA49523	49523	SRS107384	SAMN00102793	simple	768670	Calditerrivibrio nitroreducens DSM 19672	4087656	JGI	SRA023677	public	Calditerrivibrio nitroreducens DSM 19672	768670	PRJNA49523	49523	Deferribacteres	Deferribacteres	2.21655	35.6755	chromosome:NC_014758.1/CP002347.1; plasmid pCALNI01:NC_014749.1/CP002348.1	-	2	2179	2117	2010-11-30	2021-06-17	Complete Genome	US DOE Joint Genome Institute (JGI-PGF)	GCA_000183405.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/405/GCA_000183405.1_ASM18340v1	21475587	DSM 19672	000183405.1
DRR179607	1816945	546274708	1816945	300	256	https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000175/DRR179607	DRX170133	WGS	RANDOM	GENOMIC	PAIRED	650	0	ILLUMINA	Illumina MiSeq	DRP007304	PRJDB8303	730726	DRS185108	SAMD00171896	simple	118126	Methanoculleus chikugoensis	SAMD00171896	NAGOYA	DRA008442	public	Methanoculleus chikugoensis	118126	PRJDB8303	730726	Euryarchaeota	Stenosarchaea group	2.62226	61.9	chromosome:AP019781.1	-	1	2624	2575	2021-06-02	2021-06-02	Complete Genome	Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University	GCA_019669965.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/965/GCA_019669965.1_ASM1966996v1	-	MG62	019669965.1
SRR1225582	3604242	720848400	3604242	200	470	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1225582/SRR1225582.1	SRX513710	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040701	PRJNA242781	242781	SRS590463	SAMN02708971	simple	2209	Methanosarcina mazei	YBM.H.M.1A.3	UIUC	SRA149668	public	Methanosarcina mazei	2209	PRJNA242781	242781	Euryarchaeota	Stenosarchaea group	4.08166	41.6	-	JJQT01	257	3522	3287	2015-04-23	2021-01-18	Scaffold	University of Illinois at Urbana-Champaign	GCA_000980085.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/980/085/GCA_000980085.1_gtlEnvA5udCFS	25756680	1.H.M.1A.3	000980085.1
SRR12395637	6070660	1833339320	6070660	302	559	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12395637/SRR12395637.1	SRX8893890	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP276108	PRJNA632157	632157	SRS7152916	SAMN14908282	simple	39152	Methanococcus maripaludis	Gp0457699	JGI	SRA1108712	public	Methanococcus maripaludis	39152	PRJNA632157	632157	Euryarchaeota	Methanomada group	1.84082	33	-	JACDUO01	6	1971	1907	2020-07-27	2020-08-03	Scaffold	DOE Joint Genome Institute	GCA_013761225.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/761/225/GCA_013761225.1_ASM1376122v1	-	C13	013761225.1
